"Source:","/Users/rileystuermer/Documents/Projects/8BitCPU/8BitCPU_V1-1/8BitCPU_V1-1.kicad_sch"
"Date:","Wednesday, January 19, 2022 at 03:54:17 pm"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","553"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uF","8BitCPU_Symbols:CAP_POL","8BitCPU_Footprints:CAPAE4643X55N",""
"","","C2","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C3","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C4","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C5","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C6","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C7","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C8","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C9","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C10","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C11","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C12","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C13","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C14","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C15","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C16","10uF","8BitCPU_Symbols:CAP_POL","8BitCPU_Footprints:CAPAE4643X55N",""
"","","C17","10uF","8BitCPU_Symbols:CAP_POL","8BitCPU_Footprints:CAPAE4643X55N",""
"","","C18","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C19","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C20","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C21","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C22","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C23","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C24","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C25","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C26","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C27","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C28","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C29","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C30","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C31","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C32","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C33","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C34","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C35","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C36","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C37","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C38","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C39","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C40","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C41","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C42","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C43","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C44","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C45","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C46","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C47","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C48","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C49","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C50","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C51","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C52","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C53","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C54","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C55","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C56","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C57","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C58","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C59","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C60","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C61","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C62","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C63","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C64","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","C65","0.1uF","8BitCPU_Symbols:CAP","8BitCPU_Footprints:0603_CAPC1608X09N",""
"","","D1","1N4148WS-7-F","8BitCPU_Symbols:1N4148WS-7-F","8BitCPU_Footprints:SOD323-SODFL250X120-2N",""
"","","D2","LED","8BitCPU_Symbols:LED","8BitCPU_Footprints:0603_LED1608X04N",""
"","","D3","1N4148WS-7-F","8BitCPU_Symbols:1N4148WS-7-F","8BitCPU_Footprints:SOD323-SODFL250X120-2N",""
"","","D4","1N4148WS-7-F","8BitCPU_Symbols:1N4148WS-7-F","8BitCPU_Footprints:SOD323-SODFL250X120-2N",""
"","","D5","LED","8BitCPU_Symbols:LED","8BitCPU_Footprints:0603_LED1608X04N",""
"","","D6","LED","8BitCPU_Symbols:LED","8BitCPU_Footprints:0603_LED1608X04N",""
"","","D7","LED","8BitCPU_Symbols:LED","8BitCPU_Footprints:0603_LED1608X04N",""
